sample_id	file_name
TCGA-AA-3492-01A-01T-1409-13	863b67ab-6c12-4a4e-883f-2988ef0f3c18.mirbase21.isoforms.quantification.txt
TCGA-CK-6751-01A-11H-1838-13	b1ba5068-7046-4f85-beb6-a0a1ba635265.mirbase21.isoforms.quantification.txt
TCGA-AA-3684-01A-02T-0906-13	84d425d4-38f8-415a-95b8-80747277e1c9.mirbase21.isoforms.quantification.txt
TCGA-DM-A1HB-01A-21H-A17X-13	43b27816-e587-4425-a52c-db6f7a633e65.mirbase21.isoforms.quantification.txt
TCGA-AA-3846-01A-01T-1021-13	f5e5683a-7508-4e34-9f34-65fdd5d293fc.mirbase21.isoforms.quantification.txt
TCGA-F4-6855-01A-11H-1927-13	598013e6-be92-40e3-962d-254c80c8a681.mirbase21.isoforms.quantification.txt
TCGA-A6-2674-01A-02T-0822-13	5563ced9-ac94-4226-967f-a7285330a4b5.mirbase21.isoforms.quantification.txt
TCGA-AA-A01T-01A-21R-A082-13	47c43ddf-dbe2-47d8-98b2-de65f9cb2876.mirbase21.isoforms.quantification.txt
TCGA-QG-A5Z2-01A-11H-A28I-13	936b7f5e-8f2a-41b4-bfac-76164a2564a3.mirbase21.isoforms.quantification.txt
TCGA-AU-3779-01A-01T-1722-13	6e87ec09-3028-46d0-addc-cf587a2efca8.mirbase21.isoforms.quantification.txt
TCGA-CM-6166-01A-11H-1652-13	1b948250-7238-403e-ac74-cbba741781d4.mirbase21.isoforms.quantification.txt
TCGA-CM-6168-01A-11H-1652-13	d73c943f-fcec-41e9-acc0-c92614e9f520.mirbase21.isoforms.quantification.txt
TCGA-AA-3667-01A-01T-0906-13	3ec373f1-2882-4a03-a222-9c7739e2e171.mirbase21.isoforms.quantification.txt
TCGA-AA-3664-01A-01T-0906-13	44670eae-dd9b-492d-b58e-46f1bd370bd6.mirbase21.isoforms.quantification.txt
TCGA-AA-3666-01A-02T-0906-13	61596008-c066-4d83-859e-1f8b83af7b06.mirbase21.isoforms.quantification.txt
TCGA-AA-3930-01A-01T-1021-13	16ee7060-0d8d-4cf5-9891-e518c4fb0f61.mirbase21.isoforms.quantification.txt
TCGA-AZ-4308-01A-01T-1409-13	8e9d08c6-2f4a-4c96-9420-e13d29a99503.mirbase21.isoforms.quantification.txt
TCGA-NH-A8F8-01A-72H-A41D-13	30995902-7dce-46c9-b587-d75745f64f95.mirbase21.isoforms.quantification.txt
TCGA-AA-3855-01A-01T-1021-13	927d8149-858c-4dfd-b868-6b727edc7c47.mirbase21.isoforms.quantification.txt
TCGA-AZ-6606-01A-11H-1838-13	6e847c45-a3eb-48f8-b08d-60565cbde582.mirbase21.isoforms.quantification.txt
TCGA-G4-6315-01A-11H-1722-13	82914064-b00f-401a-9e6d-2bc9546202f1.mirbase21.isoforms.quantification.txt
TCGA-G4-6309-01A-21H-1838-13	843eb030-25b2-4db2-9d4c-aff2de14a3a8.mirbase21.isoforms.quantification.txt
TCGA-AA-3956-01A-02T-1021-13	7cf62bd7-13a7-4932-a2b5-706777d501af.mirbase21.isoforms.quantification.txt
TCGA-AY-6196-01A-11H-1722-13	4518135d-a7fd-4705-9599-375bb5937578.mirbase21.isoforms.quantification.txt
TCGA-DM-A280-01A-12H-A16S-13	5a2d3b47-2444-477c-b014-692fd8146e7c.mirbase21.isoforms.quantification.txt
TCGA-QG-A5YV-01A-11H-A28I-13	6c061970-6ac0-4376-9084-3cb08ea9e266.mirbase21.isoforms.quantification.txt
TCGA-CK-5913-01A-11H-1652-13	f9d77b25-a137-48f5-af2a-331f9f320724.mirbase21.isoforms.quantification.txt
TCGA-G4-6320-01A-11H-1722-13	61071f73-13fe-4a33-b1bd-d622aa874b3d.mirbase21.isoforms.quantification.txt
TCGA-AA-3877-01A-01T-1021-13	9d7ec315-85ff-4971-9ae6-5c77068b24aa.mirbase21.isoforms.quantification.txt
TCGA-AA-A02J-01A-21R-A076-13	5545dc13-3b4f-4052-97f7-7eb20d74fa79.mirbase21.isoforms.quantification.txt
TCGA-F4-6854-01A-11H-1927-13	b7a66133-da4d-4532-8288-df522d243a09.mirbase21.isoforms.quantification.txt
TCGA-AA-A00O-01A-11R-A076-13	62546a48-6ae1-4154-9549-941aab22e1c6.mirbase21.isoforms.quantification.txt
TCGA-DM-A28F-01A-11H-A16S-13	cdd8a243-9f28-46f4-a8dd-94880a2f76c9.mirbase21.isoforms.quantification.txt
TCGA-NH-A6GC-01A-12H-A41D-13	07d3b09f-07ec-4f82-8f76-ac3ca32ee535.mirbase21.isoforms.quantification.txt
TCGA-AA-A010-01A-54R-A076-13	1cff95fb-2e02-455f-a083-3f8ae7c76281.mirbase21.isoforms.quantification.txt
TCGA-A6-2675-01A-02T-1722-13	acfd3fa0-7112-4ea3-8f81-0cdf19e81b8c.mirbase21.isoforms.quantification.txt
TCGA-AA-3519-01A-02T-0822-13	bb94da85-7429-4973-b94d-a5259975f2f2.mirbase21.isoforms.quantification.txt
TCGA-D5-6922-01A-11H-1927-13	eae01809-211a-4b69-a9cd-cdba4307c529.mirbase21.isoforms.quantification.txt
TCGA-G4-6323-01A-11H-1722-13	6b372c3a-e089-42c5-ae16-422fbcb70cbb.mirbase21.isoforms.quantification.txt
TCGA-AA-A01V-01A-23R-A082-13	02c42bb5-91b6-44ac-9f45-cdd310969dde.mirbase21.isoforms.quantification.txt
TCGA-A6-6651-01A-21H-1838-13	56ab63a4-1343-4e13-a05c-4d67b25238ec.mirbase21.isoforms.quantification.txt
TCGA-AD-5900-01A-11H-1652-13	d7054e4e-f075-4f25-84ed-5c696daf72e6.mirbase21.isoforms.quantification.txt
TCGA-A6-2679-01A-02T-1409-13	e3f4c57a-45e8-4dd6-96b1-e12ba2bdb415.mirbase21.isoforms.quantification.txt
TCGA-5M-AAT4-01A-11H-A41D-13	b06a5e7b-4177-4ca9-b720-d08ccc5e53c4.mirbase21.isoforms.quantification.txt
TCGA-AA-A01F-01A-21R-A076-13	446c0cc0-44f5-493e-90d1-902cef04e9ae.mirbase21.isoforms.quantification.txt
TCGA-AA-A01P-01A-21R-A082-13	76dc0a6e-25f0-4a6a-9746-a51bd9fa1551.mirbase21.isoforms.quantification.txt
TCGA-DM-A288-01A-11H-A16S-13	99be265c-c402-499a-bd94-7a52fb274252.mirbase21.isoforms.quantification.txt
TCGA-AY-5543-01A-01T-1652-13	113ed838-aa95-4974-804c-893a3cebd0c1.mirbase21.isoforms.quantification.txt
TCGA-AA-3495-01A-01T-1409-13	74383ed6-a7bf-44fe-a1a7-b4411405b51e.mirbase21.isoforms.quantification.txt
TCGA-AA-3851-01A-01T-1021-13	282026c9-8a04-48cb-8a18-a7ebc57ebe8d.mirbase21.isoforms.quantification.txt
TCGA-DM-A1D0-01A-11H-A154-13	be5ec646-cda1-4c21-8243-2c9089e37bb6.mirbase21.isoforms.quantification.txt
TCGA-G4-6303-01A-11H-1773-13	035b88bb-0689-4470-bedd-e8ab86ae3c8f.mirbase21.isoforms.quantification.txt
TCGA-AM-5820-01A-01T-1652-13	b0b15012-7b3b-448d-9432-dead4f504354.mirbase21.isoforms.quantification.txt
TCGA-G4-6293-01A-11H-1722-13	4cd7fc00-b437-4714-b045-25c105e49975.mirbase21.isoforms.quantification.txt
TCGA-D5-6898-01A-11H-1927-13	146570de-d8f4-4858-a6ed-687147ed0ca3.mirbase21.isoforms.quantification.txt
TCGA-A6-5667-01A-21H-1722-13	d9479da8-0df0-47e0-83ea-a8a825d94e35.mirbase21.isoforms.quantification.txt
TCGA-F4-6461-01A-11H-1773-13	e09802d9-0969-4b52-96ff-a90723b12763.mirbase21.isoforms.quantification.txt
TCGA-F4-6460-01A-11H-1773-13	c3658b0c-a5bf-4451-8683-5d92b8dd881f.mirbase21.isoforms.quantification.txt
TCGA-AA-3548-01A-01T-0822-13	c6a70655-7fe9-4980-b9a2-56be0c514fef.mirbase21.isoforms.quantification.txt
TCGA-D5-5540-01A-01T-1652-13	54f1f5bc-95eb-46be-b4e8-bfd48cb5a912.mirbase21.isoforms.quantification.txt
TCGA-AA-3977-01A-01T-1021-13	f7255d89-1d76-4c50-9d65-dedab75b022e.mirbase21.isoforms.quantification.txt
TCGA-CM-6161-01A-11H-1652-13	56f78d4e-71a7-4887-8195-47fc73f19fbe.mirbase21.isoforms.quantification.txt
TCGA-AA-A02E-01A-21R-A076-13	fb4fcfe0-4ac8-4cff-bfef-c096595ba3ee.mirbase21.isoforms.quantification.txt
TCGA-AY-6386-01A-21H-1722-13	648f4db0-e5b4-40d6-8d58-4cc55be3cbe1.mirbase21.isoforms.quantification.txt
TCGA-CK-5916-01A-11H-1652-13	57668f7f-9b34-4234-aa14-92e2b9dc6a94.mirbase21.isoforms.quantification.txt
TCGA-D5-6541-01A-11H-1722-13	7763ebf6-d0d5-4cf4-876c-da65a3e306e6.mirbase21.isoforms.quantification.txt
TCGA-AA-3869-01A-01T-1021-13	cb16faf9-5fdd-4905-b1b8-9cf0b245022c.mirbase21.isoforms.quantification.txt
TCGA-CA-5797-01A-01T-1652-13	68f36ff8-dcc9-4781-95e5-2a2c8a3bd326.mirbase21.isoforms.quantification.txt
TCGA-CM-6172-01A-11H-1652-13	c2dee0b1-fb45-47b1-a50e-6f7f78822e4e.mirbase21.isoforms.quantification.txt
TCGA-AD-6963-01A-11H-1927-13	14217625-8c5c-4205-a3e0-e29064b6609a.mirbase21.isoforms.quantification.txt
TCGA-A6-A5ZU-01A-11H-A28I-13	46183230-ac41-4b86-88fa-ef627e5cdb59.mirbase21.isoforms.quantification.txt
TCGA-NH-A50T-01A-11H-A28I-13	69059659-7106-437f-96c4-cf5e90bd04e8.mirbase21.isoforms.quantification.txt
TCGA-F4-6808-01A-11H-1838-13	9db18730-cde6-4a92-b9aa-364d9808ae8d.mirbase21.isoforms.quantification.txt
TCGA-5M-AAT5-01A-21H-A41D-13	edaca154-e41a-4282-bab6-be278ef2bb1c.mirbase21.isoforms.quantification.txt
TCGA-NH-A6GA-01A-11H-A37P-13	99aba873-07dc-4a72-b1fd-f51285bd5024.mirbase21.isoforms.quantification.txt
TCGA-AA-3875-01A-01T-0906-13	7036f68d-82b5-4623-a9a2-50eac2ceea72.mirbase21.isoforms.quantification.txt
TCGA-A6-2671-01A-01T-1409-13	12ec459d-c985-4c07-b830-e7d93a2deda1.mirbase21.isoforms.quantification.txt
TCGA-A6-2671-11A-01R-1757-13	df70444a-31be-488e-bb75-38c3d5d3b8ec.mirbase21.isoforms.quantification.txt
TCGA-DM-A1HA-01A-11H-A154-13	40c939f5-500e-4df6-a396-5bbe9b57022c.mirbase21.isoforms.quantification.txt
TCGA-CM-4747-01A-01T-1409-13	edf3775d-e13f-461b-b5b8-5cb75ac09879.mirbase21.isoforms.quantification.txt
TCGA-CK-5914-01A-11H-1652-13	c3e0e184-5347-4c6b-8262-fc395e497560.mirbase21.isoforms.quantification.txt
TCGA-A6-6141-01A-11H-1773-13	5af2a874-67c8-430a-a9ee-ad87496af005.mirbase21.isoforms.quantification.txt
TCGA-AA-3982-01A-02T-1021-13	fbd84cbd-9184-4c53-bc02-928f252a87d1.mirbase21.isoforms.quantification.txt
TCGA-CM-5864-01A-01T-1652-13	b8b0bbed-47c5-4f2a-ad99-e47967a65782.mirbase21.isoforms.quantification.txt
TCGA-D5-6931-01A-11H-1927-13	519abf49-e770-404c-bd74-623003bf6dc0.mirbase21.isoforms.quantification.txt
TCGA-CK-4948-01B-11H-1652-13	7c705637-fa14-4872-8395-8d3b69758de2.mirbase21.isoforms.quantification.txt
TCGA-AA-3520-11A-01R-1757-13	fffb6ca3-638d-45fa-ad10-8d8b4ecc2575.mirbase21.isoforms.quantification.txt
TCGA-AA-3520-01A-01T-0822-13	383193d7-89b6-4024-8a61-a8cf7d5ec211.mirbase21.isoforms.quantification.txt
TCGA-RU-A8FL-01A-11H-A37P-13	ea5e4dd1-8cf4-448a-a494-2df251e67e3e.mirbase21.isoforms.quantification.txt
TCGA-AM-5821-01A-01T-1652-13	da13a1d5-d877-43b7-ac6a-a8cd777c03a1.mirbase21.isoforms.quantification.txt
TCGA-G4-6297-01A-11H-1722-13	21224a41-7f09-4d0b-9e18-ccb63a2b36be.mirbase21.isoforms.quantification.txt
TCGA-NH-A8F7-01A-11H-A41D-13	d4fd063e-0a6a-4d32-8f17-1f8aaaf3b70b.mirbase21.isoforms.quantification.txt
TCGA-NH-A8F7-06A-31H-A41D-13	f6c54a88-8dfe-4ba2-a1c7-cdb47e866206.mirbase21.isoforms.quantification.txt
TCGA-D5-6929-01A-31H-1927-13	756d37c2-4608-4625-ba84-4aece044e2ac.mirbase21.isoforms.quantification.txt
TCGA-AZ-6607-01A-11H-1838-13	6b3e8026-3f97-465b-9865-17556bc7735d.mirbase21.isoforms.quantification.txt
TCGA-CA-5796-01A-01T-1652-13	5c85b31c-ccb6-4a3a-8116-f226ce3dba92.mirbase21.isoforms.quantification.txt
TCGA-AA-3494-01A-01T-1409-13	28ead285-a8f4-4275-95b7-c00f6a1d4898.mirbase21.isoforms.quantification.txt
TCGA-AA-A02H-01A-31R-A076-13	ae179622-baa9-49cd-bbef-fc944da833cc.mirbase21.isoforms.quantification.txt
